id_indicator,time,open,close
123,1979-12-01,13.18,13.78
123,1980-01-01,13.78,13.82
123,1980-02-01,13.82,14.13
123,1980-03-01,14.13,17.19
123,1980-04-01,17.19,17.61
123,1980-05-01,17.61,10.98
123,1980-06-01,10.98,9.47
123,1980-07-01,9.47,9.03
123,1980-08-01,9.03,9.61
123,1980-09-01,9.61,10.87
123,1980-10-01,10.87,12.81
123,1980-11-01,12.81,15.85
123,1980-12-01,15.85,18.9
123,1981-01-01,18.9,19.08
123,1981-02-01,19.08,15.93
123,1981-03-01,15.93,14.7
123,1981-04-01,14.7,15.72
123,1981-05-01,15.72,18.52
123,1981-06-01,18.52,19.1
123,1981-07-01,19.1,19.04
123,1981-08-01,19.04,17.82
123,1981-09-01,17.82,15.87
123,1981-10-01,15.87,15.08
123,1981-11-01,15.08,13.31
123,1981-12-01,13.31,12.37
123,1982-01-01,12.37,13.22
123,1982-02-01,13.22,14.78
123,1982-03-01,14.78,14.68
123,1982-04-01,14.68,14.94
123,1982-05-01,14.94,14.45
123,1982-06-01,14.45,14.15
123,1982-07-01,14.15,12.59
123,1982-08-01,12.59,10.12
123,1982-09-01,10.12,10.31
123,1982-10-01,10.31,9.71
123,1982-11-01,9.71,9.2
123,1982-12-01,9.2,8.95
123,1983-01-01,8.95,8.68
123,1983-02-01,8.68,8.51
123,1983-03-01,8.51,8.77
123,1983-04-01,8.77,8.8
123,1983-05-01,8.8,8.63
123,1983-06-01,8.63,8.98
123,1983-07-01,8.98,9.37
123,1983-08-01,9.37,9.56
123,1983-09-01,9.56,9.45
123,1983-10-01,9.45,9.48
123,1983-11-01,9.48,9.34
123,1983-12-01,9.34,9.47
123,1984-01-01,9.47,9.56
123,1984-02-01,9.56,9.59
123,1984-03-01,9.59,9.91
123,1984-04-01,9.91,10.29
123,1984-05-01,10.29,10.32
123,1984-06-01,10.32,11.06
123,1984-07-01,11.06,11.23
123,1984-08-01,11.23,11.64
123,1984-09-01,11.64,11.3
